[2019-11-16 21:51:28.600] temperature (C), humidity (% relative), pressure (hPa)        
[2019-11-17 10:24:06.852] ,1,43,1071                    
[2019-11-17 10:24:19.452] ,1,43,1071                    
[2019-11-17 10:24:32.053] ,1,43,1071                    
[2019-11-17 10:24:44.651] ,1,43,1071                    
[2019-11-17 10:24:57.252] ,1,42,1071                    
[2019-11-17 10:25:09.851] ,1,43,1071                    
[2019-11-17 10:25:22.452] ,1,43,1071                    
[2019-11-17 10:25:35.052] ,1,43,1071                    
[2019-11-17 10:25:47.659] ,1,43,1071                    
[2019-11-17 10:26:00.257] ,1,43,1071                    
[2019-11-17 10:26:12.857] ,1,43,1071                    
[2019-11-17 10:26:25.458] ,1,43,1071                    
[2019-11-17 10:26:38.062] ,1,43,1071                    
[2019-11-17 10:26:50.663] ,1,43,1071                    
[2019-11-17 10:27:03.262] ,1,43,1071                    
[2019-11-17 10:27:15.862] ,1,43,1071                    
[2019-11-17 10:27:28.462] ,1,43,1071                    
[2019-11-17 10:27:41.068] ,1,43,1071                    
[2019-11-17 10:27:53.669] ,1,43,1072                    
[2019-11-17 10:28:06.268] ,1,43,1071                    
[2019-11-17 10:28:18.867] ,1,43,1071                    
[2019-11-17 10:28:31.467] ,1,43,1072                    
[2019-11-17 10:28:44.067] ,1,43,1071                    
[2019-11-17 10:28:56.667] ,1,43,1071                    
[2019-11-17 10:29:09.267] ,1,43,1071                    
[2019-11-17 10:29:21.867] ,1,43,1071                    
[2019-11-17 10:29:34.467] ,1,43,1071                    
[2019-11-17 10:29:47.067] ,1,43,1071                    
[2019-11-17 10:29:59.667] ,1,43,1071                    
[2019-11-17 10:30:12.266] ,1,43,1071                    
[2019-11-17 10:30:24.866] ,1,43,1071                    
[2019-11-17 10:30:37.466] ,1,43,1071                    
[2019-11-17 10:30:50.067] ,1,43,1071                    
[2019-11-17 10:31:02.667] ,1,43,1071                    
[2019-11-17 10:31:15.266] ,1,43,1071                    
[2019-11-17 10:31:27.866] ,1,43,1071                    
[2019-11-17 10:31:40.466] ,1,43,1071                    
[2019-11-17 10:31:53.065] ,1,43,1071                    
[2019-11-17 10:32:05.665] ,1,43,1071                    
[2019-11-17 10:32:18.265] ,1,43,1071                    
[2019-11-17 10:32:30.866] ,1,43,1071                    
[2019-11-17 10:32:43.465] ,1,43,1071                    
[2019-11-17 10:32:56.066] ,1,43,1071                    
[2019-11-17 10:33:08.673] ,1,43,1071                    
[2019-11-17 10:33:21.278] ,1,43,1071                    
[2019-11-17 10:33:33.877] ,1,43,1071                    
[2019-11-17 10:33:46.476] ,1,43,1071                    
[2019-11-17 10:33:59.076] ,1,43,1071                    
[2019-11-17 10:34:11.682] ,1,43,1071                    
[2019-11-17 10:34:24.276] ,1,43,1071                    
[2019-11-17 10:34:36.876] ,1,43,1071                    
[2019-11-17 10:34:49.476] ,1,43,1071                    
[2019-11-17 10:35:02.077] ,1,43,1071                    
[2019-11-17 10:35:14.676] ,1,43,1071                    
[2019-11-17 10:35:27.278] ,1,43,1071                    
[2019-11-17 10:35:39.876] ,1,43,1071                    
[2019-11-17 10:35:52.478] ,1,43,1071                    
[2019-11-17 10:36:05.076] ,1,43,1071                    
[2019-11-17 10:36:17.675] ,1,43,1071                    
[2019-11-17 10:36:30.276] ,1,43,1071                    
[2019-11-17 10:36:42.876] ,1,43,1071                    
[2019-11-17 10:36:55.475] ,1,43,1071                    
[2019-11-17 10:37:08.081] ,1,43,1071                    
[2019-11-17 10:37:20.680] ,1,43,1071                    
[2019-11-17 10:37:33.281] ,1,43,1071                    
[2019-11-17 10:37:45.881] ,1,43,1071                    
[2019-11-17 10:37:58.480] ,1,43,1071                    
[2019-11-17 10:38:11.080] ,1,43,1071                    
[2019-11-17 10:38:23.682] ,1,43,1071                    
[2019-11-17 10:38:36.281] ,1,43,1071                    
[2019-11-17 10:38:48.880] ,1,43,1071                    
[2019-11-17 10:39:01.479] ,1,43,1071                    
[2019-11-17 10:39:14.079] ,1,43,1071                    
[2019-11-17 10:39:26.686] ,1,43,1071                    
[2019-11-17 10:39:39.285] ,1,43,1071                    
[2019-11-17 10:39:51.886] ,1,43,1071                    
[2019-11-17 10:40:04.486] ,1,43,1071                    
[2019-11-17 10:40:17.089] ,1,43,1071                    
[2019-11-17 10:40:29.692] ,1,43,1071                    
[2019-11-17 10:40:42.290] ,1,43,1071                    
[2019-11-17 10:40:54.891] ,1,43,1071                    
[2019-11-17 10:41:07.490] ,1,43,1071                    
[2019-11-17 10:41:20.090] ,1,43,1071                    
[2019-11-17 10:41:32.690] ,1,43,1071                    
[2019-11-17 10:41:45.291] ,1,43,1071                    
[2019-11-17 10:41:57.890] ,1,43,1071                    
[2019-11-17 10:42:10.491] ,1,43,1071                    
[2019-11-17 10:42:23.090] ,1,43,1071                    
[2019-11-17 10:42:35.689] ,1,43,1071                    
[2019-11-17 10:42:48.290] ,1,43,1071                    
[2019-11-17 10:43:00.890] ,1,43,1071                    
[2019-11-17 10:43:13.490] ,1,43,1071                    
[2019-11-17 10:43:26.090] ,1,43,1071                    
[2019-11-17 10:43:38.691] ,1,43,1071                    
[2019-11-17 10:43:51.290] ,1,43,1071                    
[2019-11-17 10:44:03.889] ,1,43,1071                    
[2019-11-17 10:44:16.490] ,1,43,1071                    
[2019-11-17 10:44:29.088] ,1,43,1071                    
[2019-11-17 10:44:41.688] ,1,43,1071                    
[2019-11-17 10:44:54.289] ,1,43,1071                    
[2019-11-17 10:45:06.889] ,1,43,1071                    
[2019-11-17 10:45:19.497] ,1,43,1071                    
[2019-11-17 10:45:32.101] ,1,43,1071                    
[2019-11-17 10:45:44.701] ,1,43,1071                    
[2019-11-17 10:45:57.300] ,1,43,1071                    
[2019-11-17 10:46:09.900] ,1,43,1071                    
[2019-11-17 10:46:22.499] ,1,43,1071                    
[2019-11-17 10:46:35.099] ,1,43,1071                    
[2019-11-17 10:46:47.699] ,1,43,1071                    
[2019-11-17 10:47:00.299] ,1,43,1071                    
[2019-11-17 10:47:12.899] ,1,43,1071                    
[2019-11-17 10:47:25.503] ,1,43,1071                    
[2019-11-17 10:47:38.099] ,1,43,1071                    
[2019-11-17 10:47:50.699] ,1,43,1071                    
[2019-11-17 10:48:03.299] ,1,43,1071                    
[2019-11-17 10:48:15.898] ,1,43,1071                    
[2019-11-17 10:48:28.498] ,1,43,1071                    
[2019-11-17 10:48:41.099] ,1,43,1071                    
[2019-11-17 10:48:53.704] ,1,43,1071                    
[2019-11-17 10:49:06.305] ,1,43,1071                    
[2019-11-17 10:49:18.906] ,1,43,1071                    
[2019-11-17 10:49:31.505] ,1,43,1071                    
[2019-11-17 10:49:44.104] ,1,43,1071                    
[2019-11-17 10:49:56.703] ,1,43,1071                    
[2019-11-17 10:50:09.303] ,1,43,1071                    
[2019-11-17 10:50:21.903] ,1,43,1071                    
[2019-11-17 10:50:34.503] ,1,43,1071                    
[2019-11-17 10:50:47.108] ,1,43,1071                    
[2019-11-17 10:50:59.709] ,1,43,1071                    
[2019-11-17 10:51:12.314] ,1,43,1071                    
[2019-11-17 10:51:24.915] ,1,43,1071                    
[2019-11-17 10:51:37.514] ,1,43,1071                    
[2019-11-17 10:51:50.114] ,1,43,1071                    
[2019-11-17 10:52:02.714] ,1,43,1071                    
[2019-11-17 10:52:15.314] ,1,43,1071                    
[2019-11-17 10:52:27.914] ,1,43,1071                    
[2019-11-17 10:52:40.515] ,1,43,1071                    
[2019-11-17 10:52:53.114] ,1,43,1071                    
[2019-11-17 10:53:05.715] ,1,43,1071                    
[2019-11-17 10:53:18.314] ,1,43,1071                    
[2019-11-17 10:53:30.915] ,1,43,1071                    
[2019-11-17 10:53:43.514] ,1,43,1071                    
[2019-11-17 10:53:56.114] ,1,43,1071                    
[2019-11-17 10:54:08.713] ,1,43,1071                    
[2019-11-17 10:54:21.313] ,1,43,1071                    
[2019-11-17 10:54:33.913] ,1,43,1071                    
[2019-11-17 10:54:46.514] ,1,43,1071                    
[2019-11-17 10:54:59.113] ,1,43,1071                    
[2019-11-17 10:55:11.717] ,1,43,1071                    
[2019-11-17 10:55:24.312] ,1,43,1071                    
[2019-11-17 10:55:36.912] ,1,43,1071                    
[2019-11-17 10:55:49.520] ,1,43,1071                    
[2019-11-17 10:56:02.124] ,1,43,1071                    
[2019-11-17 10:56:14.724] ,1,43,1071                    
[2019-11-17 10:56:27.324] ,1,43,1071                    
[2019-11-17 10:56:39.926] ,1,43,1071                    
[2019-11-17 10:56:52.524] ,1,43,1071                    
[2019-11-17 10:57:05.124] ,1,43,1071                    
[2019-11-17 10:57:17.724] ,1,43,1071                    
[2019-11-17 10:57:30.324] ,1,43,1071                    
[2019-11-17 10:57:42.924] ,1,43,1071                    
[2019-11-17 10:57:55.523] ,1,43,1071                    
[2019-11-17 10:58:08.123] ,1,42,1071                    
[2019-11-17 10:58:20.723] ,1,43,1071                    
[2019-11-17 10:58:33.323] ,2,43,1071                    
[2019-11-17 10:58:45.923] ,2,43,1071                    
[2019-11-17 10:58:58.530] ,2,43,1071                    
[2019-11-17 10:59:11.128] ,2,43,1071                    
[2019-11-17 10:59:23.729] ,2,43,1071                    
[2019-11-17 10:59:36.329] ,2,43,1071                    
[2019-11-17 10:59:48.929] ,2,43,1071                    
[2019-11-17 11:00:01.528] ,2,43,1071                    
[2019-11-17 11:00:14.128] ,2,43,1071                    
[2019-11-17 11:00:26.733] ,2,43,1071                    
[2019-11-17 11:00:39.335] ,2,43,1071                    
[2019-11-17 11:00:51.934] ,2,43,1071                    
[2019-11-17 11:01:04.534] ,2,43,1071                    
[2019-11-17 11:01:17.134] ,2,43,1071                    
[2019-11-17 11:01:29.734] ,2,43,1071                    
[2019-11-17 11:01:42.334] ,2,43,1071                    
[2019-11-17 11:01:54.939] ,2,43,1071                    
[2019-11-17 11:02:07.540] ,2,43,1071                    
[2019-11-17 11:02:20.140] ,2,43,1071                    
[2019-11-17 11:02:32.740] ,2,43,1071                    
[2019-11-17 11:02:45.339] ,2,43,1071                    
[2019-11-17 11:02:57.939] ,2,43,1071                    
[2019-11-17 11:03:10.539] ,2,43,1071                    
[2019-11-17 11:03:23.139] ,2,43,1071                    
[2019-11-17 11:03:35.739] ,2,43,1071                    
[2019-11-17 11:03:48.339] ,2,43,1071                    
[2019-11-17 11:04:00.939] ,2,43,1071                    
[2019-11-17 11:04:13.539] ,2,43,1071                    
[2019-11-17 11:04:26.138] ,2,43,1071                    
[2019-11-17 11:04:38.738] ,2,43,1071                    
[2019-11-17 11:04:51.338] ,2,43,1071                    
[2019-11-17 11:05:03.938] ,2,43,1071                    
[2019-11-17 11:05:16.538] ,2,43,1071                    
[2019-11-17 11:05:29.138] ,2,43,1071                    
[2019-11-17 11:05:41.738] ,2,43,1071                    
[2019-11-17 11:05:54.338] ,2,43,1071                    
[2019-11-17 11:06:06.937] ,2,43,1071                    
[2019-11-17 11:06:19.537] ,2,43,1071                    
[2019-11-17 11:06:32.137] ,2,43,1071                    
[2019-11-17 11:06:44.737] ,2,43,1071                    
[2019-11-17 11:06:57.337] ,2,43,1071                    
[2019-11-17 11:07:09.937] ,2,43,1071                    
[2019-11-17 11:07:22.537] ,2,43,1071                    
[2019-11-17 11:07:35.136] ,2,43,1071                    
[2019-11-17 11:07:47.737] ,2,43,1071                    
[2019-11-17 11:08:00.336] ,2,43,1071                    
[2019-11-17 11:08:12.935] ,2,43,1071                    
[2019-11-17 11:08:25.536] ,2,43,1071                    
[2019-11-17 11:08:38.136] ,2,43,1071                    
[2019-11-17 11:08:50.736] ,2,43,1071                    
[2019-11-17 11:09:03.344] ,2,43,1071                    
[2019-11-17 11:09:15.948] ,2,43,1071                    
[2019-11-17 11:09:28.548] ,2,43,1071                    
[2019-11-17 11:09:41.147] ,2,43,1071                    
[2019-11-17 11:09:53.747] ,2,43,1071                    
[2019-11-17 11:10:06.347] ,2,43,1071                    
[2019-11-17 11:10:18.947] ,2,43,1071                    
[2019-11-17 11:10:31.546] ,2,43,1071                    
[2019-11-17 11:10:44.146] ,2,43,1071                    
[2019-11-17 11:10:56.747] ,2,43,1070                    
[2019-11-17 11:11:09.347] ,2,43,1070                    
[2019-11-17 11:11:21.946] ,2,43,1071                    
[2019-11-17 11:11:34.546] ,2,43,1071                    
[2019-11-17 11:11:47.146] ,2,43,1070                    
[2019-11-17 11:11:59.746] ,2,43,1070                    
[2019-11-17 11:12:12.346] ,2,43,1071                    
[2019-11-17 11:12:24.947] ,2,43,1070                    
[2019-11-17 11:12:37.546] ,2,43,1070                    
[2019-11-17 11:12:50.146] ,2,43,1070                    
[2019-11-17 11:13:02.745] ,2,43,1070                    
[2019-11-17 11:13:15.352] ,2,43,1070                    
[2019-11-17 11:13:27.951] ,2,43,1070                    
[2019-11-17 11:13:40.551] ,2,43,1071                    
[2019-11-17 11:13:53.151] ,2,43,1070                    
[2019-11-17 11:14:05.751] ,2,43,1071                    
[2019-11-17 11:14:18.350] ,2,43,1071                    
[2019-11-17 11:14:30.951] ,2,43,1070                    
[2019-11-17 11:14:43.550] ,2,43,1070                    
[2019-11-17 11:14:56.150] ,2,43,1070                    
[2019-11-17 11:15:08.750] ,2,43,1070                    
[2019-11-17 11:15:21.350] ,2,43,1070                    
[2019-11-17 11:15:33.950] ,2,43,1070                    
[2019-11-17 11:15:46.549] ,2,43,1070                    
[2019-11-17 11:15:59.150] ,2,43,1070                    
[2019-11-17 11:16:11.750] ,2,43,1070                    
[2019-11-17 11:16:24.350] ,2,43,1070                    
[2019-11-17 11:16:36.949] ,2,43,1070                    
[2019-11-17 11:16:49.549] ,2,43,1070                    
[2019-11-17 11:17:02.154] ,2,43,1070                    
[2019-11-17 11:17:14.755] ,2,43,1070                    
[2019-11-17 11:17:27.355] ,2,43,1070                    
[2019-11-17 11:17:39.941] ,2,43,1070                    
[2019-11-17 11:17:52.554] ,2,43,1070                    
[2019-11-17 11:18:05.155] ,2,43,1070                    
[2019-11-17 11:18:17.754] ,2,43,1070                    
[2019-11-17 11:18:30.354] ,2,43,1070                    
[2019-11-17 11:18:42.954] ,2,43,1070                    
[2019-11-17 11:18:55.554] ,2,43,1070                    
[2019-11-17 11:19:08.154] ,2,43,1070                    
[2019-11-17 11:19:20.753] ,2,43,1070                    
[2019-11-17 11:19:33.354] ,2,43,1070                    
[2019-11-17 11:19:45.954] ,2,43,1070                    
[2019-11-17 11:19:58.553] ,2,43,1070                    
[2019-11-17 11:20:11.153] ,2,43,1070                    
[2019-11-17 11:20:23.753] ,2,43,1070                    
[2019-11-17 11:20:36.353] ,2,43,1070                    
[2019-11-17 11:20:48.953] ,2,43,1070                    
[2019-11-17 11:21:01.553] ,2,43,1070                    
[2019-11-17 11:21:14.153] ,2,43,1070                    
[2019-11-17 11:21:26.753] ,2,43,1070                    
[2019-11-17 11:21:39.352] ,2,43,1070                    
[2019-11-17 11:21:51.952] ,2,43,1070                    
[2019-11-17 11:22:04.553] ,2,43,1070                    
[2019-11-17 11:22:17.151] ,2,43,1070                    
[2019-11-17 11:22:29.760] ,2,43,1070                    
[2019-11-17 11:22:42.364] ,2,43,1070                    
[2019-11-17 11:22:54.964] ,2,43,1070                    
[2019-11-17 11:23:07.564] ,2,43,1070                    
[2019-11-17 11:23:20.163] ,2,43,1070                    
[2019-11-17 11:23:32.763] ,2,43,1070                    
[2019-11-17 11:23:45.363] ,2,43,1070                    
[2019-11-17 11:23:57.963] ,2,43,1070                    
[2019-11-17 11:24:10.563] ,2,43,1070                    
[2019-11-17 11:24:23.163] ,2,43,1070                    
[2019-11-17 11:24:35.763] ,2,43,1070                    
[2019-11-17 11:24:48.363] ,2,43,1070                    
[2019-11-17 11:25:00.962] ,2,43,1070                    
[2019-11-17 11:25:13.562] ,2,43,1070                    
[2019-11-17 11:25:26.161] ,2,43,1070                    
[2019-11-17 11:25:38.762] ,2,43,1070                    
[2019-11-17 11:25:51.362] ,2,43,1070                    
[2019-11-17 11:26:03.962] ,2,43,1070                    
[2019-11-17 11:26:16.562] ,2,43,1070                    
[2019-11-17 11:26:29.168] ,2,43,1070                    
[2019-11-17 11:26:41.767] ,2,43,1070                    
[2019-11-17 11:26:54.366] ,2,43,1070                    
[2019-11-17 11:27:06.967] ,2,43,1070                    
[2019-11-17 11:27:19.567] ,2,43,1070                    
[2019-11-17 11:27:32.167] ,2,43,1070                    
[2019-11-17 11:27:44.767] ,2,43,1070                    
[2019-11-17 11:27:57.367] ,2,43,1070                    
[2019-11-17 11:28:09.967] ,2,43,1070                    
[2019-11-17 11:28:22.566] ,2,43,1070                    
[2019-11-17 11:28:35.166] ,2,43,1070                    
[2019-11-17 11:28:47.772] ,2,43,1070                    
[2019-11-17 11:29:00.372] ,2,43,1070                    
[2019-11-17 11:29:12.972] ,2,43,1070                    
[2019-11-17 11:29:25.572] ,2,43,1070                    
[2019-11-17 11:29:38.176] ,2,43,1070                    
[2019-11-17 11:29:50.778] ,2,43,1070                    
[2019-11-17 11:30:03.377] ,2,43,1070                    
[2019-11-17 11:30:15.977] ,2,43,1070                    
[2019-11-17 11:30:28.577] ,2,43,1070                    
[2019-11-17 11:30:41.176] ,2,43,1070                    
[2019-11-17 11:30:53.777] ,2,43,1070                    
[2019-11-17 11:31:06.377] ,2,43,1070                    
[2019-11-17 11:31:18.977] ,2,43,1070                    
[2019-11-17 11:31:31.577] ,2,43,1070                    
[2019-11-17 11:31:44.176] ,2,43,1070                    
[2019-11-17 11:31:56.776] ,2,43,1070                    
[2019-11-17 11:32:09.376] ,2,43,1070                    
[2019-11-17 11:32:21.976] ,2,43,1070                    
[2019-11-17 11:32:34.576] ,2,43,1070                    
[2019-11-17 11:32:47.176] ,2,43,1070                    
[2019-11-17 11:32:59.776] ,2,43,1070                    
[2019-11-17 11:33:12.376] ,2,43,1070                    
[2019-11-17 11:33:24.975] ,2,43,1070                    
[2019-11-17 11:33:37.575] ,2,43,1070                    
[2019-11-17 11:33:50.175] ,2,43,1070                    
[2019-11-17 11:34:02.775] ,2,43,1070                    
[2019-11-17 11:34:15.374] ,2,43,1070                    
[2019-11-17 11:34:27.975] ,2,43,1070                    
[2019-11-17 11:34:40.582] ,2,43,1070                    
[2019-11-17 11:34:53.187] ,2,43,1070                    
[2019-11-17 11:35:05.786] ,2,43,1070                    
[2019-11-17 11:35:18.386] ,2,43,1070                    
[2019-11-17 11:35:30.986] ,2,43,1070                    
[2019-11-17 11:35:43.585] ,2,43,1070                    
[2019-11-17 11:35:56.186] ,2,43,1070                    
[2019-11-17 11:36:08.786] ,2,43,1070                    
[2019-11-17 11:36:21.386] ,2,43,1070                    
[2019-11-17 11:36:33.986] ,2,43,1070                    
[2019-11-17 11:36:46.585] ,2,43,1070                    
[2019-11-17 11:36:59.185] ,2,43,1070                    
[2019-11-17 11:37:11.785] ,2,43,1070                    
[2019-11-17 11:37:24.385] ,2,43,1070                    
[2019-11-17 11:37:36.985] ,2,43,1070                    
[2019-11-17 11:37:49.585] ,2,43,1070                    
[2019-11-17 11:38:02.185] ,2,43,1070                    
[2019-11-17 11:38:14.791] ,2,43,1070                    
[2019-11-17 11:38:27.390] ,2,43,1070                    
[2019-11-17 11:38:39.990] ,2,43,1070                    
[2019-11-17 11:38:52.590] ,2,43,1070                    
[2019-11-17 11:39:05.190] ,2,43,1070                    
[2019-11-17 11:39:17.790] ,2,43,1070                    
[2019-11-17 11:39:30.390] ,2,43,1070                    
[2019-11-17 11:39:42.990] ,2,43,1070                    
[2019-11-17 11:39:55.590] ,2,43,1070                    
[2019-11-17 11:40:08.189] ,2,43,1070                    
[2019-11-17 11:40:20.788] ,2,43,1070                    
[2019-11-17 11:40:33.389] ,2,43,1070                    
[2019-11-17 11:40:45.992] ,2,43,1070                    
[2019-11-17 11:40:58.595] ,2,43,1070                    
[2019-11-17 11:41:11.195] ,2,43,1070                    
[2019-11-17 11:41:23.795] ,2,43,1070                    
[2019-11-17 11:41:36.395] ,2,43,1070                    
[2019-11-17 11:41:48.994] ,2,43,1070                    
[2019-11-17 11:42:01.594] ,2,43,1070                    
[2019-11-17 11:42:14.194] ,2,43,1070                    
[2019-11-17 11:42:26.794] ,2,43,1070                    
[2019-11-17 11:42:39.394] ,2,43,1070                    
[2019-11-17 11:42:51.994] ,2,43,1070                    
[2019-11-17 11:43:04.594] ,2,43,1070                    
[2019-11-17 11:43:17.194] ,2,43,1070                    
[2019-11-17 11:43:29.793] ,2,43,1070                    
[2019-11-17 11:43:42.393] ,2,43,1070                    
[2019-11-17 11:43:54.993] ,2,43,1070                    
[2019-11-17 11:44:07.593] ,2,43,1070                    
[2019-11-17 11:44:20.193] ,2,43,1070                    
[2019-11-17 11:44:32.793] ,2,43,1070                    
[2019-11-17 11:44:45.393] ,2,43,1070                    
[2019-11-17 11:44:57.992] ,2,43,1070                    
[2019-11-17 11:45:10.592] ,2,43,1070                    
[2019-11-17 11:45:23.192] ,2,43,1070                    
[2019-11-17 11:45:35.800] ,2,43,1070                    
[2019-11-17 11:45:48.404] ,2,43,1070                    
[2019-11-17 11:46:01.004] ,2,43,1070                    
[2019-11-17 11:46:13.604] ,2,43,1070                    
[2019-11-17 11:46:26.204] ,2,43,1070                    
[2019-11-17 11:46:38.804] ,2,43,1070                    
[2019-11-17 11:46:51.403] ,2,43,1070                    
[2019-11-17 11:47:04.003] ,2,43,1070                    
[2019-11-17 11:47:16.603] ,2,43,1070                    
[2019-11-17 11:47:29.203] ,2,43,1070                    
[2019-11-17 11:47:41.802] ,2,43,1070                    
[2019-11-17 11:47:54.403] ,2,43,1070                    
[2019-11-17 11:48:07.003] ,2,44,1070                    
[2019-11-17 11:48:19.603] ,2,44,1070                    
[2019-11-17 11:48:32.202] ,2,44,1070                    
[2019-11-17 11:48:44.801] ,2,44,1070                    
[2019-11-17 11:48:57.407] ,2,44,1070                    
[2019-11-17 11:49:10.007] ,2,44,1070                    
[2019-11-17 11:49:22.607] ,2,44,1070                    
[2019-11-17 11:49:35.207] ,2,44,1070                    
[2019-11-17 11:49:47.807] ,2,44,1070                    
[2019-11-17 11:50:00.407] ,2,44,1070                    
[2019-11-17 11:50:13.006] ,2,44,1070                    
[2019-11-17 11:50:25.606] ,2,44,1070                    
[2019-11-17 11:50:38.212] ,2,44,1070                    
[2019-11-17 11:50:50.817] ,2,44,1070                    
[2019-11-17 11:51:03.418] ,2,44,1070                    
[2019-11-17 11:51:16.019] ,2,44,1070                    
[2019-11-17 11:51:28.618] ,2,44,1070                    
[2019-11-17 11:51:41.217] ,2,44,1070                    
[2019-11-17 11:51:53.818] ,2,44,1070                    
[2019-11-17 11:52:06.417] ,2,44,1070                    
[2019-11-17 11:52:19.017] ,2,44,1070                    
[2019-11-17 11:52:31.617] ,2,44,1070                    
[2019-11-17 11:52:44.217] ,2,44,1070                    
[2019-11-17 11:52:56.817] ,2,44,1070                    
[2019-11-17 11:53:09.417] ,2,44,1070                    
[2019-11-17 11:53:22.017] ,2,44,1070                    
[2019-11-17 11:53:34.616] ,2,44,1070                    
[2019-11-17 11:53:47.217] ,2,44,1070                    
[2019-11-17 11:53:59.816] ,2,44,1070                    
[2019-11-17 11:54:12.416] ,2,44,1070                    
[2019-11-17 11:54:25.016] ,2,44,1070                    
[2019-11-17 11:54:37.616] ,2,44,1070                    
[2019-11-17 11:54:50.216] ,2,44,1070                    
[2019-11-17 11:55:02.816] ,2,44,1070                    
[2019-11-17 11:55:15.422] ,2,44,1070                    
[2019-11-17 11:55:28.027] ,2,44,1070                    
[2019-11-17 11:55:40.627] ,2,44,1070                    
[2019-11-17 11:55:53.227] ,2,43,1070                    
[2019-11-17 11:56:05.827] ,2,43,1070                    
[2019-11-17 11:56:18.427] ,2,43,1069                    
[2019-11-17 11:56:31.027] ,2,44,1070                    
[2019-11-17 11:56:43.628] ,2,44,1069                    
[2019-11-17 11:56:56.226] ,2,44,1069                    
[2019-11-17 11:57:08.826] ,2,44,1069                    
[2019-11-17 11:57:21.426] ,2,44,1069                    
[2019-11-17 11:57:34.026] ,2,44,1069                    
[2019-11-17 11:57:46.626] ,2,44,1069                    
[2019-11-17 11:57:59.226] ,2,44,1069                    
[2019-11-17 11:58:11.832] ,2,44,1069                    
[2019-11-17 11:58:24.432] ,2,44,1070                    
[2019-11-17 11:58:37.031] ,2,44,1070                    
[2019-11-17 11:58:49.631] ,2,44,1069                    
[2019-11-17 11:59:02.232] ,2,44,1069                    
[2019-11-17 11:59:14.831] ,2,44,1069                    
[2019-11-17 11:59:27.440] ,2,44,1069                    
[2019-11-17 11:59:40.037] ,2,44,1069                    
[2019-11-17 11:59:52.637] ,2,44,1069                    
[2019-11-17 12:00:05.237] ,2,44,1069                    
[2019-11-17 12:00:17.837] ,2,44,1069                    
[2019-11-17 12:00:30.436] ,2,44,1069                    
[2019-11-17 12:00:43.036] ,2,44,1069                    
[2019-11-17 12:00:55.636] ,2,44,1069                    
[2019-11-17 12:01:08.236] ,2,44,1069                    
[2019-11-17 12:01:20.836] ,2,44,1069                    
[2019-11-17 12:01:33.437] ,2,44,1069                    
[2019-11-17 12:01:46.036] ,2,44,1069                    
[2019-11-17 12:01:58.636] ,2,44,1069                    
[2019-11-17 12:02:11.240] ,2,44,1069                    
[2019-11-17 12:02:23.837] ,2,44,1069                    
[2019-11-17 12:02:36.436] ,2,44,1069                    
[2019-11-17 12:02:49.035] ,2,44,1069                    
[2019-11-17 12:03:01.635] ,2,44,1069                    
[2019-11-17 12:03:14.236] ,2,44,1069                    
[2019-11-17 12:03:26.835] ,2,45,1069                    
[2019-11-17 12:03:39.436] ,2,44,1069                    
[2019-11-17 12:03:52.034] ,2,44,1069                    
[2019-11-17 12:04:04.634] ,2,45,1069                    
[2019-11-17 12:04:17.234] ,2,45,1069                    
[2019-11-17 12:04:29.834] ,2,45,1069                    
[2019-11-17 12:04:42.434] ,2,45,1069                    
[2019-11-17 12:04:55.034] ,2,45,1069                    
[2019-11-17 12:05:07.642] ,2,45,1069                    
[2019-11-17 12:05:20.246] ,2,45,1069                    
[2019-11-17 12:05:32.845] ,2,45,1069                    
[2019-11-17 12:05:45.445] ,2,45,1069                    
[2019-11-17 12:05:58.045] ,2,45,1069                    
[2019-11-17 12:06:10.645] ,2,45,1069                    
[2019-11-17 12:06:23.246] ,2,45,1069                    
[2019-11-17 12:06:35.845] ,2,45,1069                    
[2019-11-17 12:06:48.446] ,2,45,1069                    
[2019-11-17 12:07:01.046] ,2,45,1069                    
[2019-11-17 12:07:13.644] ,2,45,1069                    
[2019-11-17 12:07:26.248] ,2,45,1069                    
[2019-11-17 12:07:38.845] ,2,45,1069                    
[2019-11-17 12:07:51.446] ,2,45,1069                    
[2019-11-17 12:08:04.044] ,2,45,1069                    
[2019-11-17 12:08:16.644] ,2,45,1069                    
[2019-11-17 12:08:29.245] ,2,45,1069                    
[2019-11-17 12:08:41.844] ,2,45,1069                    
[2019-11-17 12:08:54.444] ,2,45,1069                    
[2019-11-17 12:09:07.043] ,2,45,1069                    
[2019-11-17 12:09:19.650] ,2,45,1069                    
[2019-11-17 12:09:32.252] ,2,45,1069                    
[2019-11-17 12:09:44.849] ,2,45,1069                    
[2019-11-17 12:09:57.451] ,2,45,1069                    
[2019-11-17 12:10:10.049] ,2,45,1069                    
[2019-11-17 12:10:22.650] ,2,45,1069                    
[2019-11-17 12:10:35.251] ,2,45,1069                    
[2019-11-17 12:10:47.853] ,2,45,1069                    
[2019-11-17 12:11:00.448] ,2,45,1069                    
[2019-11-17 12:11:13.048] ,2,45,1069                    
[2019-11-17 12:11:25.648] ,2,45,1069                    
[2019-11-17 12:11:38.250] ,2,45,1069                    
[2019-11-17 12:11:50.854] ,2,45,1069                    
[2019-11-17 12:12:03.454] ,2,45,1069                    
[2019-11-17 12:12:16.054] ,2,45,1069                    
[2019-11-17 12:12:28.654] ,2,45,1069                    
