[2019-11-16 21:51:28.600] temperature (C), humidity (% relative), pressure (hPa)        
[2019-11-16 22:15:03.643] ,-3,22,1074                   
[2019-11-16 22:15:16.237] ,-3,22,1074                   
[2019-11-16 22:15:28.832] ,-3,22,1074                   
[2019-11-16 22:15:41.426] ,-3,22,1074                   
[2019-11-16 22:15:54.019] ,-3,22,1074                   
[2019-11-16 22:16:06.612] ,-3,22,1074                   
[2019-11-16 22:16:19.206] ,-3,22,1074                   
[2019-11-16 22:16:31.801] ,-3,22,1074                   
[2019-11-16 22:16:44.394] ,-3,23,1074                   
[2019-11-16 22:16:56.989] ,-3,22,1074                   
[2019-11-16 22:17:09.583] ,-3,22,1074                   
[2019-11-16 22:17:22.177] ,-3,22,1074                   
[2019-11-16 22:17:34.771] ,-3,22,1074                   
[2019-11-16 22:17:47.370] ,-3,22,1074                   
[2019-11-16 22:17:59.964] ,-3,22,1074                   
[2019-11-16 22:18:12.558] ,-3,22,1074                   
[2019-11-16 22:18:25.152] ,-3,22,1074                   
[2019-11-16 22:18:37.746] ,-3,22,1074                   
[2019-11-16 22:18:50.340] ,-3,22,1074                   
[2019-11-16 22:19:02.933] ,-3,22,1074                   
[2019-11-16 22:19:15.530] ,-3,22,1074                   
[2019-11-16 22:19:28.130] ,-3,22,1074                   
[2019-11-16 22:19:40.732] ,-3,22,1074                   
[2019-11-16 22:19:53.326] ,-3,22,1074                   
[2019-11-16 22:20:05.921] ,-3,23,1074                   
[2019-11-16 22:20:18.514] ,-3,22,1074                   
[2019-11-16 22:20:31.108] ,-3,23,1074                   
[2019-11-16 22:20:43.703] ,-3,22,1074                   
[2019-11-16 22:20:56.296] ,-3,22,1074                   
[2019-11-16 22:21:08.890] ,-3,22,1074                   
[2019-11-16 22:21:21.484] ,-3,22,1074                   
[2019-11-16 22:21:34.078] ,-3,22,1074                   
[2019-11-16 22:21:46.671] ,-3,22,1074                   
[2019-11-16 22:21:59.267] ,-3,23,1074                   
[2019-11-16 22:22:11.859] ,-3,22,1074                   
[2019-11-16 22:22:24.453] ,-3,22,1074                   
[2019-11-16 22:22:37.048] ,-3,22,1074                   
[2019-11-16 22:22:49.641] ,-3,23,1074                   
[2019-11-16 22:23:02.235] ,-3,22,1074                   
[2019-11-16 22:23:14.829] ,-3,22,1074                   
[2019-11-16 22:23:27.422] ,-3,22,1074                   
[2019-11-16 22:23:40.016] ,-3,22,1074                   
[2019-11-16 22:23:52.618] ,-3,22,1074                   
[2019-11-16 22:24:05.214] ,-3,22,1074                   
[2019-11-16 22:24:17.804] ,-3,22,1074                   
[2019-11-16 22:24:30.398] ,-3,22,1074                   
[2019-11-16 22:24:42.992] ,-3,22,1074                   
[2019-11-16 22:24:55.587] ,-3,22,1074                   
[2019-11-16 22:25:08.179] ,-3,22,1074                   
[2019-11-16 22:25:20.774] ,-3,22,1074                   
